FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes
BRAGE,60.58,3.02,2011-12-01,77110.0,32310.000000000004,732820.0
BRAGE,60.58,3.02,2012-01-01,97170.0,38900.0,805260.0000000001
BRAGE,60.58,3.02,2012-02-01,92530.0,34640.0,794750.0
BRAGE,60.58,3.02,2012-03-01,97040.0,37120.0,864650.0
BRAGE,60.58,3.02,2012-04-01,73650.0,30930.000000000004,838629.9999999999
BRAGE,60.58,3.02,2012-05-01,71850.0,29380.0,743840.0
BRAGE,60.58,3.02,2012-06-01,10900.0,2610.0000000000005,142220.0
BRAGE,60.58,3.02,2012-07-01,48930.0,17690.0,540990.0
BRAGE,60.58,3.02,2012-08-01,70810.0,22670.0,799670.0
BRAGE,60.58,3.02,2012-09-01,65229.99999999999,22119.999999999996,832460.0000000001
BRAGE,60.58,3.02,2012-10-01,66130.0,21160.0,901860.0
BRAGE,60.58,3.02,2012-11-01,52270.00000000001,20880.000000000004,700850.0
BRAGE,60.58,3.02,2012-12-01,35089.99999999999,12680.0,500830.0
BRAGE,60.58,3.02,2013-01-01,59070.00000000001,18150.0,768220.0
BRAGE,60.58,3.02,2013-02-01,54270.00000000001,17850.0,732780.0
BRAGE,60.58,3.02,2013-03-01,49089.99999999999,14900.0,614540.0
BRAGE,60.58,3.02,2013-04-01,57120.00000000001,16400.0,774720.0
BRAGE,60.58,3.02,2013-05-01,53340.0,16260.0,762820.0
BRAGE,60.58,3.02,2013-06-01,44219.99999999999,13250.0,637300.0
BRAGE,60.58,3.02,2013-07-01,53220.0,17930.0,738150.0
BRAGE,60.58,3.02,2013-08-01,54040.0,17150.0,731770.0
BRAGE,60.58,3.02,2013-09-01,26180.000000000004,6909.999999999999,510060.00000000006
BRAGE,60.58,3.02,2013-10-01,51340.0,17040.0,668000.0
BRAGE,60.58,3.02,2013-11-01,45730.0,13410.0,1145530.0
BRAGE,60.58,3.02,2013-12-01,44039.99999999999,15460.0,1089650.0
BRAGE,60.58,3.02,2014-01-01,54770.00000000001,22959.999999999996,1214810.0
BRAGE,60.58,3.02,2014-02-01,41770.0,16299.999999999998,977329.9999999999
BRAGE,60.58,3.02,2014-03-01,48810.0,20580.0,1167810.0
BRAGE,60.58,3.02,2014-04-01,39619.99999999999,17250.0,915960.0
BRAGE,60.58,3.02,2014-05-01,7990.000000000001,2200.0,270669.99999999994
BRAGE,60.58,3.02,2014-06-01,39490.0,12759.999999999998,1032520.0000000001
BRAGE,60.58,3.02,2014-07-01,47869.99999999999,16000.0,1068010.0000000002
BRAGE,60.58,3.02,2014-08-01,47680.0,15569.999999999998,1032960.0000000001
BRAGE,60.58,3.02,2014-09-01,50470.0,19400.0,1054770.0
BRAGE,60.58,3.02,2014-10-01,48050.0,19300.0,907370.0000000001
BRAGE,60.58,3.02,2014-11-01,47040.0,18990.0,1155450.0
BRAGE,60.58,3.02,2014-12-01,45939.99999999999,18180.0,999629.9999999999
BRAGE,60.58,3.02,2015-01-01,52480.0,21400.0,1219910.0
BRAGE,60.58,3.02,2015-02-01,44900.0,23360.0,975920.0000000001
BRAGE,60.58,3.02,2015-03-01,45360.00000000001,25470.0,1011500.0000000001
BRAGE,60.58,3.02,2015-04-01,40920.0,20290.0,964120.0000000001
BRAGE,60.58,3.02,2015-05-01,42190.0,20880.000000000004,1087530.0
BRAGE,60.58,3.02,2015-06-01,56150.0,20740.0,1195840.0
BRAGE,60.58,3.02,2015-07-01,76990.0,26889.999999999996,1410900.0
BRAGE,60.58,3.02,2015-08-01,70980.0,26630.0,1297880.0
